postIdFinal,reason
9138221,length
8533066,length
59716357,tokens
16271329,length
31190525,length
36873914,tokens+length
28036249,tokens+length
56002596,tokens+length
10784936,length
44737079,length
15434539,tokens+length
15434539,tokens+length
62453092,length
62453092,length
42946783,length
30110171,length
13441662,length
27050311,length
21390583,length
21390583,tokens+length
19456603,length
43267581,length
41780245,length
12541417,length
28496178,length
13163393,length
13040476,tokens
13040476,length
31664874,tokens+length
51654860,length
41320465,tokens
36856464,length
49876096,length
49996008,length
58397194,length
65101623,tokens+length
23651641,tokens+length
54569108,length
61002395,length
4388055,length
38238279,length
26775569,tokens+length
25321456,length
2972673,tokens+length
42695148,length
13872961,length
44838542,length
13380390,length
60498186,tokens+length
31412765,length
17507391,length
27111128,length
35681814,length
50515171,tokens
57595738,length
42594121,length
27774717,tokens+length
55377557,length
38250733,length
9538056,length
9323218,length
8310049,length
35753723,length
37558410,tokens+length
50164077,length
45528439,length
42444018,tokens+length
26749090,tokens+length
21434646,length
42239464,length
42239464,length
40976709,tokens+length
40976709,length
60561428,tokens
40531576,length
42316421,length
60827166,length
57545334,length
59222607,length
31208040,length
39301495,length
52374068,tokens+length
46969542,length
48554343,length
48554343,length
27715090,length
12419405,length
53485395,length
53485395,tokens+length
37695289,length
16880462,length
16880462,length
33695064,length
5957619,length
42251470,length
30194562,length
44891643,tokens+length
64290148,length
22499243,length
20656803,length
47142459,length
17184970,length
47539399,length
43760407,tokens+length
7878822,length
12358877,length
38182962,length
31860196,length
31284336,length
31284336,tokens
13219627,length
21369731,length
59148994,length
19016302,length
23735011,length
62123265,tokens
23489694,length
18907945,length
18907945,length
45162140,length
47233291,length
63241032,length
3422383,length
40386680,tokens
4698291,length
60562533,tokens+length
58749654,length
45752537,tokens+length
34102374,length
45209647,length
53302058,length
21285555,tokens+length
55966426,length
50678064,length
13611552,length
44913080,length
39267932,length
14693052,length
41950511,tokens+length
39459545,tokens
40678585,tokens+length
11663345,length
37395379,length
60165977,length
19281762,length
44050801,length
5522733,tokens+length
38918307,tokens+length
31832716,length
31832716,length
31832716,length
56714483,tokens
52485750,length
19361057,length
42815101,tokens
48147846,length
958997,length
31301666,length
51159801,length
26198673,length
26089607,length
26089607,length
26089607,length
27052741,length
1441005,length
20308370,tokens
59487931,length
31532746,tokens+length
60730831,length
52574976,length
33983422,length
60132829,length
33609587,length
31023028,tokens
10199273,length
10843766,length
43560334,length
17540458,length
21312864,length
10066737,length
17975812,tokens
63692627,length
46937247,length
46937247,length
42687088,length
42687088,length
22468734,tokens+length
2878184,length
41639899,length
24078428,length
58795381,length
55671957,tokens
9508425,length
9508425,length
41412782,length
10325039,length
37639581,length
50642668,length
41231723,tokens
40773068,length
17561184,tokens+length
35460108,length
35460108,tokens+length
27944617,length
31779969,length
49032213,length
19790172,length
41445891,length
23338610,tokens+length
41085189,length
26080665,tokens+length
24821107,length
14064353,length
6186696,length
57259966,tokens+length
45094027,tokens+length
31950347,length
47155770,tokens+length
37246623,length
28955560,length
4197150,length
1157745,length
9042543,length
41766277,length
60245646,length
29961256,length
32650536,length
47990592,length
7807993,tokens
33762278,length
3211142,length
63125907,length
62895259,length
31128736,length
63109695,length
21422841,length
45460925,tokens+length
64677992,length
5101196,length
40426893,length
40426893,length
49397958,length
41232546,length
31382935,length
35565926,tokens+length
17999137,length
53909505,length
46147124,length
39401099,length
18742096,length
20091229,tokens+length
32256486,length
18389685,length
57047467,length
47205744,tokens+length
11315554,length
33580557,length
55873575,length
9863716,length
51087329,length
14490731,tokens+length
59709713,length
44440357,tokens+length
27780447,tokens
21359902,tokens
4363741,length
46725340,length
41339082,length
53945694,tokens+length
35965307,tokens
62578084,tokens+length
59340325,tokens+length
14327304,length
61768040,length
61768040,tokens
52751849,tokens+length
61008190,tokens+length
15701988,length
25933064,length
32737182,length
22757568,length
38560996,length
59918175,length
45794214,length
45794214,length
37383305,length
13906683,length
43905510,tokens+length
62680234,length
40863560,length
61639428,length
32782693,length
26275373,length
51155227,tokens+length
30271043,length
14477721,length
36755080,tokens
42238819,length
271330,length
34862013,length
21974713,length
43525814,length
55928109,length
55928109,length
61000556,length
51431277,length
6664843,length
35053021,tokens+length
35053021,length
27258767,length
23098617,length
1006590,tokens+length
37890925,length
31475362,length
3681787,length
31385584,length
61439834,length
4111349,length
14707762,length
44393393,length
27470758,length
31488693,length
56865351,length
45223546,length
16061597,length
45040639,length
48413011,length
45842920,length
23740306,tokens+length
21892205,length
54598180,length
25407718,length
6326419,length
6326419,tokens
52831070,tokens
49902576,length
41909981,length
6001639,length
1869884,length
42963643,length
40451567,length
38614066,length
37534863,tokens+length
25532175,length
25320091,length
46186080,length
46186080,length
19937781,tokens+length
32419487,length
18300749,tokens
6915312,length
6915312,length
6915312,tokens+length
39147736,length
62963743,tokens+length
10043097,length
61660783,length
31880005,length
43908770,length
60986765,length
40189508,tokens
44099764,tokens
38422039,length
59102077,tokens
47542372,length
51076636,length
16584982,length
38525361,tokens+length
48827815,tokens
12714405,tokens
34213425,length
35700535,tokens+length
4591677,tokens+length
37659833,length
30792383,length
56676677,length
59105766,length
46913844,tokens+length
14216961,length
40406996,length
18536322,length
18253314,length
41823328,length
45645772,length
45633706,tokens+length
34657870,length
44332100,length
48637271,length
47477459,length
34886496,length
62197289,length
34896178,tokens
38407760,tokens+length
20543088,length
43799707,length
40084116,length
33131019,length
40629788,tokens
55643932,length
16279521,length
40088048,length
59577515,tokens
58278051,length
39408536,tokens+length
49727696,tokens
61171094,length
27324285,length
49620686,length
49437802,tokens+length
23881520,length
11349200,length
58769341,length
59970557,length
62827808,length
45435457,length
45435457,length
37568138,length
58381350,length
14207033,length
33172497,tokens
33386844,tokens+length
57430544,tokens
31135764,length
10578891,length
22199554,length
32366260,tokens+length
39720481,length
63742790,length
63742790,tokens+length
35886006,tokens+length
35886006,length
35886006,length
32157299,length
32051936,tokens
18629291,length
55101737,length
44482117,length
47927446,length
47927446,length
699215,length
37785593,length
16371906,length
34849930,length
13184799,length
41891974,length
28014217,length
15771421,length
20288045,length
16284103,length
45346579,length
40851944,length
43392367,length
59997404,length
39635413,length
53021407,tokens
29957531,length
52907477,length
10610745,length
62801724,length
42497189,length
22875782,length
63925483,length
48173985,length
45009367,length
22503206,length
22373948,length
47701726,tokens
24489513,length
33986659,length
33986659,tokens+length
7411802,length
43480037,length
38808089,tokens
19705453,length
19348007,length
26740478,tokens+length
3782593,tokens+length
31877177,length
15024555,length
23286708,length
18425829,tokens+length
9526597,length
11574678,length
49795258,length
22993421,length
49629808,length
43055616,length
56816679,length
