postIdFinal,reason
55676535,length
5350033,length
35527861,tokens+length
31507887,length
10960805,tokens+length
43014303,tokens
41371158,tokens
9337134,length
39001856,tokens+length
46463415,length
20180036,length
30918548,tokens
37304933,length
39889146,length
36288012,tokens+length
63675654,length
64475635,tokens
39020493,tokens
47450773,tokens+length
47450773,length
47450773,length
63139549,tokens
58327783,length
49509524,tokens+length
12118695,length
24497316,length
51228377,length
45031524,length
42108005,length
43881123,length
25624615,length
46900364,length
48732704,length
34936754,tokens
53541157,length
53541157,tokens+length
37266574,length
59126194,length
64790476,tokens+length
61002395,length
43084260,tokens+length
22860988,tokens+length
37165002,tokens+length
58106426,tokens+length
57474758,length
27581864,length
40253936,length
57695185,length
48167501,tokens+length
56925946,tokens+length
38216135,length
40899715,length
22598333,tokens+length
48524758,length
51129996,tokens
56792787,length
56888898,tokens
60125432,length
47272523,tokens
47272523,length
32612273,length
53353635,length
53441874,length
23509465,length
48884214,length
35208443,length
44409556,length
47574518,tokens+length
47574518,length
16533270,length
7017144,length
7017144,tokens+length
52190140,length
49141621,tokens+length
49141621,tokens+length
40771239,length
39289340,length
35931686,length
53328043,tokens
47079393,tokens
49904996,length
56427846,tokens+length
48472265,length
22186709,tokens+length
33953061,tokens+length
13728878,tokens+length
64611308,tokens+length
39598371,length
50262695,tokens
13649403,length
61206672,length
61934876,length
61934876,length
61934876,length
32095824,tokens
59091003,length
44528691,tokens
47343477,length
44810020,tokens+length
48493726,tokens
64252773,tokens
52513455,tokens+length
24710611,length
60128447,length
40841294,length
56687397,length
56949525,length
51872892,length
51872892,length
24585697,length
24585697,tokens+length
19861785,length
19217242,length
19217242,length
63765641,length
30947927,length
42489975,length
42513039,tokens+length
37037581,length
57945989,tokens+length
29103487,length
30177398,tokens+length
17238654,tokens+length
40205402,length
44103787,tokens+length
62901892,tokens
37297957,length
44069237,length
64586008,length
64560914,tokens
11596839,tokens+length
9576160,tokens+length
45223788,length
59148994,length
51811206,length
61981149,length
47170102,length
48210685,length
24594092,length
10039567,length
24478792,length
31995539,tokens+length
16285349,length
23155704,length
42571143,tokens+length
28468689,tokens+length
44345251,length
17408759,length
64651410,tokens
54566694,tokens+length
54309633,length
52850097,tokens
64869337,tokens
58891966,length
18920428,length
4838645,tokens+length
56666517,tokens
56635186,length
48311909,length
46460566,length
46761219,length
37357483,length
51634368,tokens
64344902,tokens+length
51511813,length
57548504,tokens+length
53386111,tokens+length
33660178,length
60579362,tokens+length
30982571,length
12056115,tokens+length
14614577,length
14614577,length
39565349,length
55449292,length
43277697,length
28966972,tokens+length
22273185,length
42748830,length
42257321,length
58341438,length
14584549,length
14584549,length
3718630,length
16331273,tokens
805660,length
45883150,length
29716465,length
40621956,tokens
63459011,tokens+length
38788291,length
56085360,length
45357171,length
11981427,length
33773272,length
58374518,length
47426682,length
47426682,length
18955750,length
11317489,length
37501651,length
61650276,tokens+length
48611565,length
43467705,tokens+length
28999891,length
17254599,tokens
3054604,length
55393894,tokens
53483813,length
61570524,tokens
55704959,length
62934496,tokens
62955728,tokens
62955728,tokens
51900253,length
32219453,length
48422387,tokens+length
58226514,length
28688226,tokens+length
46811902,tokens
50938519,tokens
26678498,length
26678498,length
31627419,length
50016231,tokens+length
20172733,tokens
60994037,length
33363494,length
24830894,length
43159949,length
44595202,tokens
44595202,tokens
44595202,length
56411413,length
40493503,length
59920370,length
63687138,length
35412375,tokens+length
57314891,length
57314891,length
29231584,tokens+length
59466989,length
15510193,length
20728856,length
45408495,length
34116913,length
33791218,tokens+length
50229772,length
47970707,tokens
62871282,tokens
53517794,length
33341972,length
52169501,length
22816888,tokens+length
55836927,length
28880921,tokens+length
39046624,length
34778650,length
35566678,tokens+length
35566678,tokens+length
41945823,length
58911116,length
58911116,length
60748301,length
46114309,tokens+length
46106871,length
34550741,tokens
22789754,length
22789754,length
33803327,tokens
39612739,length
12417908,length
12417908,length
46204466,tokens+length
37547232,tokens
35045096,length
19427392,tokens+length
40596428,length
40596428,length
49800045,length
64722253,tokens+length
18117797,tokens+length
25157535,length
52415984,length
18433767,length
63345335,length
51690724,tokens+length
62298088,length
42350929,length
42350929,length
53193008,length
3677611,length
61791180,length
32835888,tokens
51328263,length
50212253,length
24112803,tokens+length
24112803,tokens+length
14490731,tokens+length
62304811,tokens
36469376,tokens+length
23969793,tokens+length
43304544,length
15195682,length
25504119,length
33081934,tokens
15792018,tokens+length
51295136,length
50737364,length
50669278,length
50669278,length
47863001,length
53463798,tokens
53463798,tokens
50101965,tokens+length
50731319,length
40587834,length
45042078,length
5839335,length
61726904,tokens
40743200,length
18943223,tokens+length
64068801,length
27049998,length
52501475,length
47404561,tokens
33709621,tokens
36312582,length
60023530,length
38481506,tokens+length
58130624,tokens
21551424,length
60696469,tokens
49707635,length
56979052,length
13650383,length
63565465,length
63565465,length
52189285,tokens
21246353,length
21246353,length
41068865,length
41068865,length
34957035,length
37729522,tokens+length
61271677,tokens
64576300,length
53111296,length
52841791,length
58578396,length
53043713,length
56358482,length
47590335,tokens+length
54139261,tokens+length
56603274,length
48068691,tokens+length
12329662,length
29745017,length
62294923,tokens+length
41244681,tokens+length
7318712,length
34864624,length
51687169,length
8305646,length
35156132,length
19825520,length
62835006,tokens
30960264,tokens
53303080,tokens+length
15177072,length
65025766,length
61625206,tokens+length
18357655,tokens+length
58076140,tokens
44459102,tokens+length
52579293,tokens
50275675,length
43015818,tokens+length
43015818,tokens+length
10323300,length
35135173,tokens+length
25312984,tokens+length
50562106,tokens
13110246,tokens+length
49185476,length
26764390,tokens+length
11681765,length
54379278,length
58197060,length
49239346,length
53077316,length
36314771,length
21997660,length
62474622,length
27947419,tokens+length
63488261,length
40258520,tokens
61983596,length
40451567,length
51977012,length
12048438,length
59174596,length
37207807,length
37207807,length
50914245,length
64483854,length
50889988,length
40616067,length
52902289,length
52902289,length
61200340,length
18722675,length
31240163,length
47851895,length
28032682,length
40311987,tokens+length
45658144,tokens
45658144,tokens
45658144,tokens+length
64797771,tokens
47486692,length
47486692,length
26497431,tokens+length
57170139,length
24880400,tokens+length
24880400,length
28858006,length
44028819,length
52834334,length
60711201,length
51654037,length
53227086,tokens+length
58694648,tokens+length
30744976,length
46264753,length
32059397,tokens+length
22567083,tokens+length
25585067,tokens+length
54715918,length
34099352,length
65065616,tokens
60286488,length
63254984,length
17403201,tokens+length
58311351,length
21484754,length
53902906,length
59303232,length
59303232,length
19227002,tokens
36583944,length
27321912,length
12160010,tokens+length
50149562,tokens+length
45602464,tokens+length
45602464,length
54092597,length
38217855,length
62662082,length
55115214,length
62155396,length
38251874,length
16651176,tokens+length
16651176,tokens+length
30797080,length
46414026,tokens+length
34165265,length
35148114,length
31057073,length
46677879,length
16140765,length
41307127,length
32136439,length
52894264,length
9088877,length
18072195,length
40518091,length
45865260,length
45865260,length
45865260,length
26002626,length
21331436,length
22389138,tokens
24039023,tokens+length
59436858,length
47101273,length
62891526,length
62891526,length
17720626,length
31252296,length
36153569,length
62476349,tokens
53183222,length
46181585,length
10460088,tokens+length
10460088,tokens+length
41272705,length
31598626,length
14434869,tokens
13426872,length
57563499,tokens+length
53971160,length
7506717,tokens+length
58358692,length
4047212,tokens
4047212,length
57955098,tokens
51937444,length
52791463,tokens+length
35612089,length
35612089,length
12552211,length
54870279,tokens+length
54870279,tokens+length
58642620,length
27401474,length
24707208,tokens
10846133,length
39970857,tokens+length
37549515,length
62214365,length
26645241,length
62576740,length
50555948,length
12794856,tokens+length
49943691,length
62234832,length
41078789,length
15480906,tokens+length
51129601,length
62114404,length
56436618,length
21924299,tokens+length
51030391,length
59444252,tokens+length
62772845,length
51733030,length
32591327,length
48773174,tokens
48773174,tokens+length
40199638,length
42890793,tokens
6836781,length
55925609,tokens
45415254,length
2884509,length
56837332,length
25558582,length
51818566,tokens+length
50132740,tokens+length
50132740,tokens+length
44685516,length
17568451,tokens
52693944,length
42983804,tokens+length
63252307,length
40594688,length
40594688,length
58470541,tokens+length
37955505,tokens+length
34915722,length
7080921,length
58135290,tokens
52768760,tokens
52768760,tokens
53384351,length
30502960,length
30502960,tokens
41347542,length
62029578,tokens
56551613,tokens
7014404,length
53180120,length
53715289,length
39555307,length
59839837,length
38143305,length
46757603,length
46757603,tokens+length
61030633,length
47297161,length
33967824,tokens+length
57498206,tokens+length
32951313,length
56757408,tokens+length
49642062,tokens
49642062,tokens+length
45906747,length
45906747,length
40754235,length
40754235,length
17910399,tokens+length
56741769,tokens+length
52890393,length
56247486,length
3805000,tokens
31121344,length
31121344,tokens+length
31121344,length
32590746,tokens+length
24705679,length
29562558,length
33656330,length
45540133,tokens
45540133,length
30055246,length
63785948,length
58793085,length
33425872,tokens+length
56831972,tokens
43497276,tokens
60662935,length
63890263,length
60469344,length
45132825,length
45132825,tokens+length
37943077,length
63432678,length
63432678,length
39110194,tokens+length
47112161,tokens
58711278,tokens+length
27629944,tokens+length
47325526,tokens+length
57438350,length
18949832,length
22008561,length
11353874,length
61250615,length
50659994,tokens
47128796,length
47128796,tokens+length
47532728,tokens
37142012,length
49912464,length
62902922,length
39648054,length
47900969,length
63374456,tokens+length
62155160,length
40251616,tokens+length
63498524,tokens+length
49624954,length
59285866,length
44857223,tokens+length
29776211,tokens+length
20449666,length
62349106,length
49656552,tokens+length
62811239,tokens+length
64491591,length
8538296,length
37110113,length
30323899,tokens+length
47416699,length
63228230,length
19483906,tokens+length
45558429,tokens+length
37828075,length
25649412,length
25649412,tokens
63290060,length
5488257,length
26984414,length
49680191,length
45674143,tokens+length
51821131,tokens
5573644,length
51950845,length
50312887,length
35048988,tokens+length
4402685,length
53647399,tokens+length
51471298,length
47237610,length
57870593,length
39619636,length
24655592,length
27696337,tokens+length
60178709,length
12189016,tokens+length
21556658,length
54487514,length
35311515,tokens
38758367,tokens+length
38758367,tokens
57868881,tokens+length
59312336,length
37429296,tokens+length
31013585,tokens+length
47557240,tokens
45499559,length
31354429,length
54480171,length
34054222,length
58142479,length
51696639,tokens+length
39732724,length
42190906,length
42190906,tokens+length
46083360,length
46083360,tokens+length
21985299,tokens+length
39558758,length
58390271,length
15231607,length
60183321,length
58737998,tokens
14070197,tokens+length
61582558,tokens
35361975,tokens
38054955,length
28044219,length
51621431,length
27985015,length
49394188,length
7475258,length
28485275,length
28137737,length
52166920,tokens+length
39838793,length
35256609,length
25949140,length
57016428,tokens
37056354,length
65099281,length
56886764,length
41228859,length
8806120,length
25350262,tokens+length
3835192,tokens+length
49370721,length
32399461,tokens+length
13836648,tokens+length
6755302,length
34846955,tokens+length
34846955,length
46760474,length
5190507,tokens+length
34974050,length
11356665,length
57256785,length
56739320,tokens+length
17765881,length
34182055,length
27063692,tokens+length
60201418,length
60201418,length
55861586,tokens+length
62170677,tokens+length
41243215,length
11286688,tokens+length
40446212,tokens+length
36834400,tokens+length
33151188,tokens+length
65014556,length
28455982,length
39827307,length
52285092,tokens
39209261,tokens+length
30455638,length
4759544,length
62869997,length
38593771,length
39057167,length
25190131,length
25190131,length
49026919,length
40669042,tokens
40669042,length
49703186,length
64537360,length
38215040,tokens+length
38215040,tokens+length
48608062,tokens+length
50368090,length
61888958,length
